gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
0.05,0.1,0.3,0.8260869565217391,0.7402597402597403,0.7808219178082192
0.05,0.3,0.7,0.7536231884057971,0.6341463414634146,0.6887417218543047
0.1,0.05,0.7,0.7536231884057971,0.6582278481012658,0.7027027027027026
0.05,0.01,0.7,0.7536231884057971,0.6190476190476191,0.6797385620915033
0.1,0.05,0.5,0.8115942028985508,0.7088607594936709,0.7567567567567568
0.05,0.4,0.1,0.7971014492753623,0.7236842105263158,0.7586206896551724
0.05,0.2,0.1,0.7971014492753623,0.7236842105263158,0.7586206896551724
0.2,0.05,0.5,0.8260869565217391,0.7808219178082192,0.8028169014084506
0.05,0.4,0.5,0.8115942028985508,0.6829268292682927,0.7417218543046358
0.1,0.2,0.1,0.7971014492753623,0.7534246575342466,0.7746478873239437
0.1,0.1,0.9,0.6666666666666666,0.5974025974025974,0.6301369863013698
0.2,0.01,0.3,0.8260869565217391,0.8028169014084507,0.8142857142857144
0.1,0.2,0.9,0.6666666666666666,0.5974025974025974,0.6301369863013698
0.1,0.2,0.3,0.8260869565217391,0.7702702702702703,0.7972027972027972
0.01,0.3,0.7,0.7536231884057971,0.6190476190476191,0.6797385620915033
0.1,0.2,0.5,0.8115942028985508,0.7088607594936709,0.7567567567567568
0.1,0.01,0.7,0.7536231884057971,0.6419753086419753,0.6933333333333332
0.1,0.05,0.3,0.8260869565217391,0.7702702702702703,0.7972027972027972
0.01,0.4,0.1,0.7971014492753623,0.6875,0.7382550335570469
0.1,0.4,0.9,0.6666666666666666,0.5974025974025974,0.6301369863013698
0.2,0.05,0.9,0.6666666666666666,0.6133333333333333,0.638888888888889
0.01,0.1,0.5,0.8115942028985508,0.6511627906976745,0.7225806451612903
0.1,0.05,0.9,0.6666666666666666,0.5974025974025974,0.6301369863013698
0.1,0.05,0.1,0.7971014492753623,0.7534246575342466,0.7746478873239437
0.2,0.01,0.1,0.7971014492753623,0.7857142857142857,0.7913669064748201
0.1,0.4,0.3,0.8260869565217391,0.7702702702702703,0.7972027972027972
0.01,0.3,0.9,0.6666666666666666,0.5822784810126582,0.6216216216216217
0.1,0.3,0.3,0.8260869565217391,0.7702702702702703,0.7972027972027972
0.2,0.3,0.3,0.8260869565217391,0.8260869565217391,0.8260869565217391
0.2,0.1,0.1,0.7971014492753623,0.8088235294117647,0.8029197080291971
0.1,0.4,0.7,0.7536231884057971,0.6582278481012658,0.7027027027027026
0.2,0.05,0.7,0.7246376811594203,0.6666666666666666,0.6944444444444444
0.2,0.1,0.7,0.7246376811594203,0.6666666666666666,0.6944444444444444
0.2,0.01,0.5,0.8260869565217391,0.76,0.7916666666666667
0.2,0.4,0.1,0.7971014492753623,0.8088235294117647,0.8029197080291971
0.2,0.2,0.9,0.6666666666666666,0.6133333333333333,0.638888888888889
