gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
0.05,0.1,0.1,0.9,0.75,0.8181818181818182
0.05,0.1,0.3,0.9,0.75,0.8181818181818182
0.05,0.1,0.5,0.8833333333333333,0.726027397260274,0.7969924812030076
0.05,0.1,0.7,0.8166666666666667,0.6533333333333333,0.725925925925926
0.05,0.1,0.9,0.7833333333333333,0.6351351351351351,0.7014925373134329
0.05,0.2,0.1,0.9,0.75,0.8181818181818182
0.05,0.2,0.3,0.9,0.75,0.8181818181818182
0.05,0.2,0.5,0.8833333333333333,0.726027397260274,0.7969924812030076
0.05,0.2,0.7,0.8166666666666667,0.6533333333333333,0.725925925925926
0.05,0.2,0.9,0.7833333333333333,0.6351351351351351,0.7014925373134329
0.05,0.3,0.1,0.9,0.75,0.8181818181818182
0.05,0.3,0.3,0.9,0.75,0.8181818181818182
0.05,0.3,0.5,0.8833333333333333,0.726027397260274,0.7969924812030076
0.05,0.3,0.7,0.8166666666666667,0.6533333333333333,0.725925925925926
0.05,0.3,0.9,0.7833333333333333,0.6351351351351351,0.7014925373134329
0.05,0.4,0.1,0.9,0.7605633802816901,0.8244274809160305
0.05,0.4,0.3,0.9,0.7605633802816901,0.8244274809160305
0.05,0.4,0.5,0.8833333333333333,0.7361111111111112,0.803030303030303
0.05,0.4,0.7,0.8166666666666667,0.6621621621621622,0.7313432835820896
0.05,0.4,0.9,0.7833333333333333,0.6438356164383562,0.7067669172932332
0.058823529411764705,0.058823529411764705,0.1,0.9,0.7714285714285715,0.8307692307692307
0.058823529411764705,0.058823529411764705,0.3,0.9,0.7714285714285715,0.8307692307692307
0.058823529411764705,0.058823529411764705,0.5,0.8833333333333333,0.7464788732394366,0.8091603053435115
0.058823529411764705,0.058823529411764705,0.7,0.8166666666666667,0.6712328767123288,0.7368421052631579
0.058823529411764705,0.058823529411764705,0.9,0.7833333333333333,0.6527777777777778,0.7121212121212122
0.058823529411764705,0.1111111111111111,0.1,0.9,0.7714285714285715,0.8307692307692307
0.058823529411764705,0.1111111111111111,0.3,0.9,0.7714285714285715,0.8307692307692307
0.058823529411764705,0.1111111111111111,0.5,0.8833333333333333,0.7464788732394366,0.8091603053435115
0.058823529411764705,0.1111111111111111,0.7,0.8166666666666667,0.6712328767123288,0.7368421052631579
0.058823529411764705,0.1111111111111111,0.9,0.7833333333333333,0.6527777777777778,0.7121212121212122
0.058823529411764705,0.2,0.1,0.9,0.7714285714285715,0.8307692307692307
0.058823529411764705,0.2,0.3,0.9,0.7714285714285715,0.8307692307692307
0.058823529411764705,0.2,0.5,0.8833333333333333,0.7464788732394366,0.8091603053435115
0.058823529411764705,0.2,0.7,0.8166666666666667,0.6712328767123288,0.7368421052631579
0.058823529411764705,0.2,0.9,0.7833333333333333,0.6527777777777778,0.7121212121212122
0.058823529411764705,0.3333333333333333,0.1,0.9,0.7714285714285715,0.8307692307692307
0.058823529411764705,0.3333333333333333,0.3,0.9,0.7714285714285715,0.8307692307692307
0.058823529411764705,0.3333333333333333,0.5,0.8833333333333333,0.7464788732394366,0.8091603053435115
0.058823529411764705,0.3333333333333333,0.7,0.8166666666666667,0.6712328767123288,0.7368421052631579
0.058823529411764705,0.3333333333333333,0.9,0.7833333333333333,0.6527777777777778,0.7121212121212122
0.1,0.01,0.1,0.9,0.7714285714285715,0.8307692307692307
0.1,0.01,0.3,0.9,0.7714285714285715,0.8307692307692307
0.1,0.01,0.5,0.8833333333333333,0.7464788732394366,0.8091603053435115
0.1,0.01,0.7,0.8166666666666667,0.6712328767123288,0.7368421052631579
0.1,0.01,0.9,0.7833333333333333,0.6527777777777778,0.7121212121212122
0.1,0.05,0.1,0.9,0.7714285714285715,0.8307692307692307
0.1,0.05,0.3,0.9,0.7714285714285715,0.8307692307692307
0.1,0.05,0.5,0.8833333333333333,0.7464788732394366,0.8091603053435115
0.1,0.05,0.7,0.8166666666666667,0.6712328767123288,0.7368421052631579
0.1,0.05,0.9,0.7833333333333333,0.6527777777777778,0.7121212121212122
0.1,0.1,0.1,0.9,0.7714285714285715,0.8307692307692307
0.1,0.1,0.3,0.9,0.7714285714285715,0.8307692307692307
0.1,0.1,0.5,0.8833333333333333,0.7464788732394366,0.8091603053435115
0.1,0.1,0.7,0.8166666666666667,0.6712328767123288,0.7368421052631579
0.1,0.1,0.9,0.7833333333333333,0.6527777777777778,0.7121212121212122
0.1,0.2,0.1,0.9,0.7714285714285715,0.8307692307692307
0.1,0.2,0.3,0.9,0.7714285714285715,0.8307692307692307
0.1,0.2,0.5,0.8833333333333333,0.7464788732394366,0.8091603053435115
0.1,0.2,0.7,0.8166666666666667,0.6712328767123288,0.7368421052631579
0.1,0.2,0.9,0.7833333333333333,0.6527777777777778,0.7121212121212122
0.1,0.3,0.1,0.9,0.7714285714285715,0.8307692307692307
0.1,0.3,0.3,0.9,0.7714285714285715,0.8307692307692307
0.1,0.3,0.5,0.8833333333333333,0.7464788732394366,0.8091603053435115
0.1,0.3,0.7,0.8166666666666667,0.6712328767123288,0.7368421052631579
0.1,0.3,0.9,0.7833333333333333,0.6527777777777778,0.7121212121212122
0.1,0.4,0.1,0.9,0.782608695652174,0.8372093023255814
0.1,0.4,0.3,0.9,0.782608695652174,0.8372093023255814
0.1,0.4,0.5,0.8833333333333333,0.7571428571428571,0.8153846153846154
0.1,0.4,0.7,0.8166666666666667,0.6805555555555556,0.7424242424242424
0.1,0.4,0.9,0.7833333333333333,0.6619718309859155,0.717557251908397
0.1111111111111111,0.058823529411764705,0.1,0.9,0.7941176470588235,0.84375
0.1111111111111111,0.058823529411764705,0.3,0.9,0.7941176470588235,0.84375
0.1111111111111111,0.058823529411764705,0.5,0.8833333333333333,0.7681159420289855,0.8217054263565893
0.1111111111111111,0.058823529411764705,0.7,0.7666666666666667,0.6388888888888888,0.696969696969697
0.1111111111111111,0.058823529411764705,0.9,0.7666666666666667,0.6388888888888888,0.696969696969697
0.1111111111111111,0.1111111111111111,0.1,0.9,0.7941176470588235,0.84375
0.1111111111111111,0.1111111111111111,0.3,0.9,0.7941176470588235,0.84375
0.1111111111111111,0.1111111111111111,0.5,0.8833333333333333,0.7681159420289855,0.8217054263565893
0.1111111111111111,0.1111111111111111,0.7,0.7666666666666667,0.6388888888888888,0.696969696969697
0.1111111111111111,0.1111111111111111,0.9,0.7666666666666667,0.6388888888888888,0.696969696969697
0.1111111111111111,0.2,0.1,0.9,0.7941176470588235,0.84375
0.1111111111111111,0.2,0.3,0.9,0.7941176470588235,0.84375
0.1111111111111111,0.2,0.5,0.8833333333333333,0.7681159420289855,0.8217054263565893
0.1111111111111111,0.2,0.7,0.7666666666666667,0.6388888888888888,0.696969696969697
0.1111111111111111,0.2,0.9,0.7666666666666667,0.6388888888888888,0.696969696969697
0.1111111111111111,0.3333333333333333,0.1,0.9,0.7941176470588235,0.84375
0.1111111111111111,0.3333333333333333,0.3,0.9,0.7941176470588235,0.84375
0.1111111111111111,0.3333333333333333,0.5,0.8833333333333333,0.7681159420289855,0.8217054263565893
0.1111111111111111,0.3333333333333333,0.7,0.7666666666666667,0.6388888888888888,0.696969696969697
0.1111111111111111,0.3333333333333333,0.9,0.7666666666666667,0.6388888888888888,0.696969696969697
