filepath,sensitivity,ppv,fmeasure
ibt-2-obt-3-hyb-0.06.fa,0.566666667,0.829268293,0.673267327
ibt-2-obt-3-hyb-0.04.fa,0.566666667,0.829268293,0.673267327
ibt-2-obt-3-hyb-0.02.fa,0.566666667,0.829268293,0.673267327
ibt-4-obt-4-hyb-0.fa,0.616666667,0.725490196,0.666666667
ibt-4-obt-2-hyb-0.3.fa,0.616666667,0.725490196,0.666666667
ibt-3-obt-4-hyb-0.fa,0.616666667,0.725490196,0.666666667
ibt-3-obt-4-hyb-0.02.fa,0.616666667,0.725490196,0.666666667
ibt-3-obt-2-hyb-0.3.fa,0.616666667,0.725490196,0.666666667
ibt-9-obt-4-hyb-0.02.fa,0.616666667,0.711538462,0.660714286
ibt-8-obt-4-hyb-0.02.fa,0.616666667,0.711538462,0.660714286
ibt-7-obt-4-hyb-0.02.fa,0.616666667,0.711538462,0.660714286
ibt-2-obt-2-hyb-0.2.fa,0.55,0.825,0.66
ibt-4-obt-1-hyb-0.6.fa,0.6,0.72,0.654545455
ibt-3-obt-1-hyb-0.6.fa,0.6,0.72,0.654545455
ibt-6-obt-4-hyb-0.02.fa,0.6,0.705882353,0.648648649
ibt-10-obt-1-hyb-0.fa,0.583333333,0.729166667,0.648148148
ibt-10-obt-1-hyb-0.1.fa,0.583333333,0.729166667,0.648148148
ibt-10-obt-1-hyb-0.08.fa,0.583333333,0.729166667,0.648148148
ibt-10-obt-1-hyb-0.06.fa,0.583333333,0.729166667,0.648148148
ibt-10-obt-1-hyb-0.04.fa,0.583333333,0.729166667,0.648148148
ibt-10-obt-1-hyb-0.02.fa,0.583333333,0.729166667,0.648148148
ibt-2-obt-2-hyb-0.1.fa,0.533333333,0.820512821,0.646464646
ibt-2-obt-2-hyb-0.08.fa,0.533333333,0.820512821,0.646464646
ibt-2-obt-2-hyb-0.06.fa,0.533333333,0.820512821,0.646464646
ibt-2-obt-2-hyb-0.04.fa,0.533333333,0.820512821,0.646464646
ibt-2-obt-1-hyb-0.5.fa,0.533333333,0.820512821,0.646464646
ibt-9-obt-1-hyb-0.fa,0.566666667,0.723404255,0.635514019
ibt-9-obt-1-hyb-0.1.fa,0.566666667,0.723404255,0.635514019
ibt-9-obt-1-hyb-0.08.fa,0.566666667,0.723404255,0.635514019
ibt-9-obt-1-hyb-0.06.fa,0.566666667,0.723404255,0.635514019
ibt-9-obt-1-hyb-0.04.fa,0.566666667,0.723404255,0.635514019
ibt-9-obt-1-hyb-0.02.fa,0.566666667,0.723404255,0.635514019
ibt-8-obt-1-hyb-0.fa,0.566666667,0.723404255,0.635514019
ibt-8-obt-1-hyb-0.1.fa,0.566666667,0.723404255,0.635514019
ibt-8-obt-1-hyb-0.08.fa,0.566666667,0.723404255,0.635514019
ibt-8-obt-1-hyb-0.06.fa,0.566666667,0.723404255,0.635514019
ibt-8-obt-1-hyb-0.04.fa,0.566666667,0.723404255,0.635514019
ibt-8-obt-1-hyb-0.02.fa,0.566666667,0.723404255,0.635514019
ibt-7-obt-1-hyb-0.fa,0.566666667,0.723404255,0.635514019
ibt-7-obt-1-hyb-0.1.fa,0.566666667,0.723404255,0.635514019
ibt-7-obt-1-hyb-0.08.fa,0.566666667,0.723404255,0.635514019
ibt-7-obt-1-hyb-0.06.fa,0.566666667,0.723404255,0.635514019
ibt-7-obt-1-hyb-0.04.fa,0.566666667,0.723404255,0.635514019
ibt-7-obt-1-hyb-0.02.fa,0.566666667,0.723404255,0.635514019
ibt-6-obt-1-hyb-0.fa,0.566666667,0.723404255,0.635514019
ibt-6-obt-1-hyb-0.1.fa,0.566666667,0.723404255,0.635514019
ibt-6-obt-1-hyb-0.08.fa,0.566666667,0.723404255,0.635514019
ibt-6-obt-1-hyb-0.06.fa,0.566666667,0.723404255,0.635514019
ibt-6-obt-1-hyb-0.04.fa,0.566666667,0.723404255,0.635514019
ibt-6-obt-1-hyb-0.02.fa,0.566666667,0.723404255,0.635514019
ibt-2-obt-1-hyb-0.4.fa,0.516666667,0.815789474,0.632653061
ibt-5-obt-4-hyb-0.02.fa,0.566666667,0.693877551,0.623853211
ibt-5-obt-1-hyb-0.fa,0.55,0.717391304,0.622641509
ibt-5-obt-1-hyb-0.1.fa,0.55,0.717391304,0.622641509
ibt-5-obt-1-hyb-0.08.fa,0.55,0.717391304,0.622641509
ibt-5-obt-1-hyb-0.06.fa,0.55,0.717391304,0.622641509
ibt-5-obt-1-hyb-0.04.fa,0.55,0.717391304,0.622641509
ibt-5-obt-1-hyb-0.02.fa,0.55,0.717391304,0.622641509
ibt-2-obt-2-hyb-0.fa,0.5,0.789473684,0.612244898
ibt-2-obt-2-hyb-0.02.fa,0.5,0.789473684,0.612244898
ibt-2-obt-1-hyb-0.3.fa,0.5,0.789473684,0.612244898
ibt-4-obt-4-hyb-0.02.fa,0.55,0.6875,0.611111111
ibt-9-obt-4-hyb-0.04.fa,0.55,0.673469388,0.605504587
ibt-8-obt-4-hyb-0.04.fa,0.55,0.673469388,0.605504587
ibt-7-obt-4-hyb-0.04.fa,0.55,0.673469388,0.605504587
ibt-10-obt-4-hyb-0.04.fa,0.55,0.673469388,0.605504587
ibt-4-obt-1-hyb-0.fa,0.516666667,0.704545455,0.596153846
ibt-4-obt-1-hyb-0.1.fa,0.516666667,0.704545455,0.596153846
ibt-4-obt-1-hyb-0.08.fa,0.516666667,0.704545455,0.596153846
ibt-4-obt-1-hyb-0.06.fa,0.516666667,0.704545455,0.596153846
ibt-4-obt-1-hyb-0.04.fa,0.516666667,0.704545455,0.596153846
ibt-4-obt-1-hyb-0.02.fa,0.516666667,0.704545455,0.596153846
ibt-3-obt-1-hyb-0.fa,0.516666667,0.704545455,0.596153846
ibt-3-obt-1-hyb-0.1.fa,0.516666667,0.704545455,0.596153846
ibt-3-obt-1-hyb-0.08.fa,0.516666667,0.704545455,0.596153846
ibt-3-obt-1-hyb-0.06.fa,0.516666667,0.704545455,0.596153846
ibt-3-obt-1-hyb-0.04.fa,0.516666667,0.704545455,0.596153846
ibt-3-obt-1-hyb-0.02.fa,0.516666667,0.704545455,0.596153846
ibt-6-obt-4-hyb-0.04.fa,0.533333333,0.666666667,0.592592593
ibt-5-obt-4-hyb-0.04.fa,0.533333333,0.666666667,0.592592593
ibt-9-obt-1-hyb-0.7.fa,0.55,0.634615385,0.589285714
ibt-8-obt-1-hyb-0.7.fa,0.55,0.634615385,0.589285714
ibt-7-obt-1-hyb-0.7.fa,0.55,0.634615385,0.589285714
