gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
4.5,3.5,0.1,0.739130435,0.784615385,0.76119403
5,2.5,0.04,0.739130435,0.784615385,0.76119403
5,3,0.1,0.739130435,0.784615385,0.76119403
6,2.5,0.1,0.739130435,0.784615385,0.76119403
6,3.5,0.075,0.739130435,0.784615385,0.76119403
7,3,0.075,0.739130435,0.784615385,0.76119403
8,2.5,0.075,0.739130435,0.784615385,0.76119403
5,20,0.01,0.782608696,0.739726027,0.76056338
6,20,0.01,0.782608696,0.739726027,0.76056338
7,20,0.01,0.782608696,0.739726027,0.76056338
15,2.5,0.02,0.782608696,0.739726027,0.76056338
15,3,0.02,0.782608696,0.739726027,0.76056338
15,3.5,0.02,0.782608696,0.739726027,0.76056338
2.5,20,0.01,0.753623188,0.764705882,0.759124088
3,6,0.04,0.753623188,0.764705882,0.759124088
3.5,6,0.05,0.753623188,0.764705882,0.759124088
4.5,5,0.05,0.753623188,0.764705882,0.759124088
5,5,0.05,0.753623188,0.764705882,0.759124088
6,5,0.04,0.753623188,0.764705882,0.759124088
8,5,0.02,0.753623188,0.764705882,0.759124088
2.5,3.5,0.05,0.724637681,0.793650794,0.757575758
3,2.5,0.01,0.724637681,0.793650794,0.757575758
3,2.5,0.02,0.724637681,0.793650794,0.757575758
3,2.5,0.04,0.724637681,0.793650794,0.757575758
3,3,0.01,0.724637681,0.793650794,0.757575758
3,3,0.02,0.724637681,0.793650794,0.757575758
3,3,0.133,0.724637681,0.793650794,0.757575758
3,3.5,0.02,0.724637681,0.793650794,0.757575758
3,3.5,0.01,0.724637681,0.793650794,0.757575758
3.5,2.5,0.04,0.724637681,0.793650794,0.757575758
3.5,2.5,0.133,0.724637681,0.793650794,0.757575758
3.5,3,0.04,0.724637681,0.793650794,0.757575758
4.5,8,0.02,0.768115942,0.746478873,0.757142857
5,7,0.02,0.768115942,0.746478873,0.757142857
5,8,0.02,0.768115942,0.746478873,0.757142857
5,15,0.01,0.768115942,0.746478873,0.757142857
6,7,0.02,0.768115942,0.746478873,0.757142857
6,15,0.01,0.768115942,0.746478873,0.757142857
8,10,0.01,0.768115942,0.746478873,0.757142857
10,4,0.02,0.768115942,0.746478873,0.757142857
10,4.5,0.02,0.768115942,0.746478873,0.757142857
2,3.5,0.01,0.695652174,0.827586207,0.755905512
2,3.5,0.02,0.695652174,0.827586207,0.755905512
2,3.5,0.04,0.695652174,0.827586207,0.755905512
2,3.5,0.05,0.695652174,0.827586207,0.755905512
2,3.5,0.075,0.695652174,0.827586207,0.755905512
2.5,5,0.05,0.739130435,0.772727273,0.755555556
3,4,0.04,0.739130435,0.772727273,0.755555556
3,4.5,0.04,0.739130435,0.772727273,0.755555556
3.5,4,0.04,0.739130435,0.772727273,0.755555556
4,4,0.075,0.739130435,0.772727273,0.755555556
4,4.5,0.05,0.739130435,0.772727273,0.755555556
6,2.5,0.04,0.739130435,0.772727273,0.755555556
8,3.5,0.02,0.739130435,0.772727273,0.755555556
2.5,7,0.04,0.753623188,0.753623188,0.753623188
2.5,7,0.05,0.753623188,0.753623188,0.753623188
2.5,8,0.05,0.753623188,0.753623188,0.753623188
2.5,8,0.04,0.753623188,0.753623188,0.753623188
2.5,10,0.04,0.753623188,0.753623188,0.753623188
2.5,15,0.02,0.753623188,0.753623188,0.753623188
4.5,6,0.04,0.753623188,0.753623188,0.753623188
