gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
0.5,2.5,0.45,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.4,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.6,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,1,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,2,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.75,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,5,0.20930232558139536,0.9,0.339622641509434
0.5,3.0,0.01,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.02,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.04,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.075,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.05,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.133,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.1,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.166,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.2,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.233,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.266,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.3,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.35,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.4,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.5,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.6,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.45,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,0.75,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,2,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,1,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.0,5,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.02,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.04,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.01,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.075,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.133,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.05,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.1,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.166,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.266,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.2,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.233,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.3,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.35,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.4,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.45,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.6,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.5,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,0.75,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,1,0.20930232558139536,0.8181818181818182,0.33333333333333337
0.5,3.5,5,0.20930232558139536,0.8181818181818182,0.33333333333333337
