gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
10,6,0.6,0.627906977,0.870967742,0.72972973
10,6,0.75,0.627906977,0.870967742,0.72972973
10,6,1,0.627906977,0.870967742,0.72972973
10,6,2,0.627906977,0.870967742,0.72972973
10,7,0.01,0.627906977,0.870967742,0.72972973
10,6,5,0.627906977,0.870967742,0.72972973
10,7,0.02,0.627906977,0.870967742,0.72972973
10,7,0.04,0.627906977,0.870967742,0.72972973
10,7,0.05,0.627906977,0.870967742,0.72972973
10,7,0.075,0.627906977,0.870967742,0.72972973
10,7,0.1,0.627906977,0.870967742,0.72972973
10,7,0.166,0.627906977,0.870967742,0.72972973
10,7,0.133,0.627906977,0.870967742,0.72972973
10,7,0.2,0.627906977,0.870967742,0.72972973
10,7,0.266,0.627906977,0.870967742,0.72972973
10,7,0.233,0.627906977,0.870967742,0.72972973
10,7,0.3,0.627906977,0.870967742,0.72972973
10,7,0.35,0.627906977,0.870967742,0.72972973
10,7,0.4,0.627906977,0.870967742,0.72972973
10,7,0.45,0.627906977,0.870967742,0.72972973
10,7,0.5,0.627906977,0.870967742,0.72972973
10,7,0.6,0.627906977,0.870967742,0.72972973
10,7,0.75,0.627906977,0.870967742,0.72972973
10,7,1,0.627906977,0.870967742,0.72972973
10,7,2,0.627906977,0.870967742,0.72972973
10,7,5,0.627906977,0.870967742,0.72972973
10,8,0.01,0.627906977,0.870967742,0.72972973
10,8,0.04,0.627906977,0.870967742,0.72972973
10,8,0.02,0.627906977,0.870967742,0.72972973
10,8,0.05,0.627906977,0.870967742,0.72972973
10,8,0.075,0.627906977,0.870967742,0.72972973
10,8,0.133,0.627906977,0.870967742,0.72972973
10,8,0.1,0.627906977,0.870967742,0.72972973
10,8,0.166,0.627906977,0.870967742,0.72972973
10,8,0.266,0.627906977,0.870967742,0.72972973
10,8,0.3,0.627906977,0.870967742,0.72972973
10,8,0.2,0.627906977,0.870967742,0.72972973
10,8,0.233,0.627906977,0.870967742,0.72972973
10,8,0.35,0.627906977,0.870967742,0.72972973
10,8,0.45,0.627906977,0.870967742,0.72972973
10,8,0.4,0.627906977,0.870967742,0.72972973
10,8,0.5,0.627906977,0.870967742,0.72972973
10,8,0.75,0.627906977,0.870967742,0.72972973
10,8,1,0.627906977,0.870967742,0.72972973
10,8,0.6,0.627906977,0.870967742,0.72972973
10,8,2,0.627906977,0.870967742,0.72972973
10,8,5,0.627906977,0.870967742,0.72972973
15,1.5,0.05,0.651162791,0.823529412,0.727272727
15,1.5,0.02,0.651162791,0.823529412,0.727272727
15,1.5,0.04,0.651162791,0.823529412,0.727272727
15,1.5,0.01,0.651162791,0.823529412,0.727272727
15,1.5,0.075,0.651162791,0.823529412,0.727272727
15,1.5,0.1,0.651162791,0.823529412,0.727272727
15,1.5,0.133,0.651162791,0.823529412,0.727272727
15,1.5,0.166,0.651162791,0.823529412,0.727272727
15,1.5,0.2,0.651162791,0.823529412,0.727272727
15,1.5,0.266,0.651162791,0.823529412,0.727272727
15,1.5,0.233,0.651162791,0.823529412,0.727272727
15,1.5,0.3,0.651162791,0.823529412,0.727272727
15,1.5,0.35,0.651162791,0.823529412,0.727272727
15,1.5,0.4,0.651162791,0.823529412,0.727272727
15,1.5,0.5,0.651162791,0.823529412,0.727272727
15,1.5,0.6,0.651162791,0.823529412,0.727272727
15,1.5,0.45,0.651162791,0.823529412,0.727272727
15,1.5,0.75,0.651162791,0.823529412,0.727272727
15,1.5,1,0.651162791,0.823529412,0.727272727
15,1.5,5,0.651162791,0.823529412,0.727272727
15,1.5,2,0.651162791,0.823529412,0.727272727
8,2,0.02,0.604651163,0.896551724,0.722222222
8,2,0.01,0.604651163,0.896551724,0.722222222
8,2,0.05,0.604651163,0.896551724,0.722222222
8,2,0.075,0.604651163,0.896551724,0.722222222
8,2,0.04,0.604651163,0.896551724,0.722222222
8,2,0.1,0.604651163,0.896551724,0.722222222
8,2,0.166,0.604651163,0.896551724,0.722222222
8,2,0.133,0.604651163,0.896551724,0.722222222
8,2,0.2,0.604651163,0.896551724,0.722222222
8,2,0.233,0.604651163,0.896551724,0.722222222
8,2,0.266,0.604651163,0.896551724,0.722222222
8,2,0.3,0.604651163,0.896551724,0.722222222
8,2,0.5,0.604651163,0.896551724,0.722222222
8,2,0.4,0.604651163,0.896551724,0.722222222
8,2,0.45,0.604651163,0.896551724,0.722222222
8,2,0.35,0.604651163,0.896551724,0.722222222
8,2,0.6,0.604651163,0.896551724,0.722222222
8,2,0.75,0.604651163,0.896551724,0.722222222
8,2,1,0.604651163,0.896551724,0.722222222
8,2,5,0.604651163,0.896551724,0.722222222
8,2,2,0.604651163,0.896551724,0.722222222
8,2.5,0.01,0.604651163,0.896551724,0.722222222
8,2.5,0.02,0.604651163,0.896551724,0.722222222
8,2.5,0.04,0.604651163,0.896551724,0.722222222
8,2.5,0.05,0.604651163,0.896551724,0.722222222
8,2.5,0.1,0.604651163,0.896551724,0.722222222
8,2.5,0.075,0.604651163,0.896551724,0.722222222
8,2.5,0.133,0.604651163,0.896551724,0.722222222
8,2.5,0.166,0.604651163,0.896551724,0.722222222
8,2.5,0.233,0.604651163,0.896551724,0.722222222
8,2.5,0.2,0.604651163,0.896551724,0.722222222
8,2.5,0.266,0.604651163,0.896551724,0.722222222
8,2.5,0.3,0.604651163,0.896551724,0.722222222
8,2.5,0.35,0.604651163,0.896551724,0.722222222
8,2.5,0.4,0.604651163,0.896551724,0.722222222
8,2.5,0.5,0.604651163,0.896551724,0.722222222
8,2.5,0.45,0.604651163,0.896551724,0.722222222
8,2.5,0.6,0.604651163,0.896551724,0.722222222
8,2.5,0.75,0.604651163,0.896551724,0.722222222
8,2.5,1,0.604651163,0.896551724,0.722222222
8,2.5,2,0.604651163,0.896551724,0.722222222
8,2.5,5,0.604651163,0.896551724,0.722222222
15,2,0.01,0.651162791,0.8,0.717948718
15,2,0.04,0.651162791,0.8,0.717948718
15,2,0.02,0.651162791,0.8,0.717948718
15,2,0.05,0.651162791,0.8,0.717948718
15,2,0.075,0.651162791,0.8,0.717948718
15,2,0.1,0.651162791,0.8,0.717948718
15,2,0.133,0.651162791,0.8,0.717948718
15,2,0.2,0.651162791,0.8,0.717948718
15,2,0.266,0.651162791,0.8,0.717948718
15,2,0.233,0.651162791,0.8,0.717948718
15,2,0.166,0.651162791,0.8,0.717948718
15,2,0.3,0.651162791,0.8,0.717948718
15,2,0.35,0.651162791,0.8,0.717948718
15,2,0.4,0.651162791,0.8,0.717948718
15,2,0.45,0.651162791,0.8,0.717948718
15,2,1,0.651162791,0.8,0.717948718
15,2,0.75,0.651162791,0.8,0.717948718
15,2,0.5,0.651162791,0.8,0.717948718
15,2,0.6,0.651162791,0.8,0.717948718
15,2,2,0.651162791,0.8,0.717948718
15,2.5,0.01,0.651162791,0.8,0.717948718
15,2,5,0.651162791,0.8,0.717948718
15,2.5,0.02,0.651162791,0.8,0.717948718
15,2.5,0.05,0.651162791,0.8,0.717948718
15,2.5,0.075,0.651162791,0.8,0.717948718
15,2.5,0.1,0.651162791,0.8,0.717948718
15,2.5,0.04,0.651162791,0.8,0.717948718
15,2.5,0.133,0.651162791,0.8,0.717948718
15,2.5,0.2,0.651162791,0.8,0.717948718
15,2.5,0.233,0.651162791,0.8,0.717948718
15,2.5,0.166,0.651162791,0.8,0.717948718
15,2.5,0.266,0.651162791,0.8,0.717948718
15,2.5,0.35,0.651162791,0.8,0.717948718
15,2.5,0.3,0.651162791,0.8,0.717948718
15,2.5,0.4,0.651162791,0.8,0.717948718
