gamma_s,gamma_h,sensitivity,ppv,fmeasure
32,512,0.289855072,0.298507463,0.294117647
32,1024,0,NaN,NaN
64,0.03125,0.68115942,0.661971831,0.671428571
64,0.0625,0.68115942,0.661971831,0.671428571
64,0.125,0.68115942,0.661971831,0.671428571
64,0.25,0.68115942,0.661971831,0.671428571
64,0.5,0.68115942,0.661971831,0.671428571
64,1,0.68115942,0.661971831,0.671428571
64,2,0.652173913,0.661764706,0.656934307
64,4,0.579710145,0.606060606,0.592592593
64,8,0.47826087,0.492537313,0.485294118
64,16,0.31884058,0.34375,0.330827068
64,32,0.304347826,0.328125,0.315789474
64,64,0.289855072,0.3125,0.30075188
64,128,0.289855072,0.3125,0.30075188
64,256,0.289855072,0.303030303,0.296296296
64,512,0.289855072,0.298507463,0.294117647
64,1024,0.289855072,0.298507463,0.294117647
128,0.03125,0.68115942,0.635135135,0.657342657
128,0.0625,0.68115942,0.635135135,0.657342657
128,0.125,0.68115942,0.635135135,0.657342657
128,0.25,0.68115942,0.635135135,0.657342657
128,0.5,0.68115942,0.635135135,0.657342657
128,1,0.68115942,0.635135135,0.657342657
128,2,0.652173913,0.633802817,0.642857143
128,4,0.594202899,0.594202899,0.594202899
128,8,0.52173913,0.493150685,0.507042254
128,16,0.362318841,0.357142857,0.35971223
128,32,0.347826087,0.342857143,0.345323741
128,64,0.333333333,0.328571429,0.330935252
128,128,0.333333333,0.328571429,0.330935252
128,256,0.333333333,0.319444444,0.326241135
128,512,0.333333333,0.315068493,0.323943662
128,1024,0,NaN,NaN
256,0.03125,0.68115942,0.61038961,0.643835616
256,0.0625,0.68115942,0.61038961,0.643835616
256,0.125,0.68115942,0.61038961,0.643835616
256,0.25,0.68115942,0.61038961,0.643835616
256,0.5,0.68115942,0.61038961,0.643835616
256,1,0.68115942,0.61038961,0.643835616
256,2,0.652173913,0.608108108,0.629370629
256,4,0.594202899,0.569444444,0.581560284
256,8,0.52173913,0.467532468,0.493150685
256,16,0.362318841,0.342465753,0.352112676
256,32,0.347826087,0.328767123,0.338028169
256,64,0.333333333,0.315068493,0.323943662
256,128,0.333333333,0.315068493,0.323943662
256,256,0.333333333,0.306666667,0.319444444
256,512,0.333333333,0.302631579,0.317241379
256,1024,0,NaN,NaN
512,0.03125,0.68115942,0.5875,0.630872483
512,0.0625,0.68115942,0.5875,0.630872483
512,0.125,0.68115942,0.5875,0.630872483
512,0.25,0.68115942,0.5875,0.630872483
512,0.5,0.68115942,0.5875,0.630872483
512,1,0.68115942,0.5875,0.630872483
512,2,0.666666667,0.58974359,0.62585034
512,4,0.594202899,0.546666667,0.569444444
512,8,0.52173913,0.45,0.483221477
512,16,0.391304348,0.350649351,0.369863014
512,32,0.362318841,0.320512821,0.340136054
512,64,0.333333333,0.298701299,0.315068493
512,128,0.333333333,0.298701299,0.315068493
512,256,0.333333333,0.291139241,0.310810811
512,512,0,NaN,NaN
512,1024,0,NaN,NaN
1024,0.03125,0.68115942,0.55952381,0.614379085
1024,0.0625,0.68115942,0.55952381,0.614379085
1024,0.125,0.68115942,0.55952381,0.614379085
1024,0.25,0.68115942,0.55952381,0.614379085
1024,0.5,0.68115942,0.55952381,0.614379085
1024,1,0.68115942,0.55952381,0.614379085
1024,2,0.666666667,0.56097561,0.609271523
1024,4,0.594202899,0.532467532,0.561643836
1024,8,0.52173913,0.45,0.483221477
1024,16,0.405797101,0.35443038,0.378378378
1024,32,0.376811594,0.325,0.348993289
1024,64,0.333333333,0.302631579,0.317241379
1024,128,0.333333333,0.298701299,0.315068493
1024,256,0.333333333,0.291139241,0.310810811
1024,512,0,NaN,NaN
1024,1024,0.333333333,0.2875,0.308724832
